index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
44,8,1,3.85504,120726.918213733,76.2931515860732,76.2931515860732,77.9845102136688,77.2009862851013,segment1,66.3518236947603,23119.5729199235,34646.0535910904,31258.1793944467,segment1,36024.1040131046,17851.2396694215,29388.4297520661,27796.304532314,segment1,30154.3272370375,5440.36895228329,5608.06004181938,5607.90852662254,segment1,6085.70862594098,-0.894483268975478,-0.918945913047449,-0.90611135736553,segment1,-1.70538395905003
45,9,1,3.86806,110590.850147864,53.7685558841418,53.7685558841418,70.0415835755082,71.7797649514123,segment1,66.3518236947603,1630.21518061647,26634.3817557923,27471.3525557285,segment1,36024.1040131046,5950.4132231405,24595.041322314,24590.7850178911,segment1,30154.3272370375,5815.87002334509,5613.65742065064,5617.22639399752,segment1,6085.70862594098,-1.78662534469032,-1.19450721055659,-1.09168145965748,segment1,-1.70538395905003
46,10,1,3.88119,108438.738149395,48.9860847764326,48.9860847764326,60.3061035028382,65.2834460408827,segment1,66.3518236947603,11126.6306590025,19928.8694278153,25434.8438824478,segment1,36024.1040131046,7933.88429752066,18644.6280991735,22594.3882226863,segment1,30154.3272370375,5344.8583599509,5665.20736134322,5608.74720120457,segment1,6085.70862594098,-1.98565540096229,-1.53822355387556,-1.33516965141357,segment1,-1.70538395905003
47,11,1,3.89353,103867.380068418,38.8275112631521,38.8275112631521,58.2282095943196,58.787127130353,segment1,66.3518236947603,4227.92731876948,24615.101210278,23398.3352091672,segment1,36024.1040131046,3570.2479338843,19966.9421487603,20597.9914274815,segment1,30154.3272370375,5229.03746586143,5583.21132035107,5600.26800841162,segment1,6085.70862594098,-2.40842041353756,-1.61854061323344,-1.57865784316966,segment1,-1.70538395905003
48,12,1,3.90666,107357.449075372,46.5832201674944,46.5832201674944,57.5041052109202,54.6118792898425,segment1,66.3518236947603,68589.1065021241,27824.8883329847,23877.4677652722,segment1,36024.1040131046,59504.1322314049,22694.2148760331,20547.9106570547,segment1,30154.3272370375,5594.90526376527,5456.52042948139,5549.66946108636,segment1,6085.70862594098,-2.08565439051398,-1.64661151024669,-1.75637583576271,segment1,-1.70538395905003
49,1,1,3.91981,107453.195569933,46.7959901554077,46.7959901554077,54.9190326071118,50.4366314493319,segment1,66.3518236947603,29334.4652185913,26233.1092197066,24356.6003213771,segment1,36024.1040131046,23801.652892562,21958.6776859504,20497.8298866278,segment1,30154.3272370375,5437.06583146827,5437.71420546995,5499.0709137611,segment1,6085.70862594098,-2.07679963285548,-1.75015237407361,-1.93409382835576,segment1,-1.70538395905003
50,2,1,3.93281,108053.226338057,48.1293918623497,48.1293918623497,50.9309348115411,48.9717013401429,segment1,66.3518236947603,37273.4975141498,25095.981543078,25315.9842859813,segment1,36024.1040131046,31735.5371900827,21479.3388429752,20843.6572840437,segment1,30154.3272370375,4937.92955594324,5411.28670810966,5439.03170846774,segment1,6085.70862594098,-2.02130802385483,-1.91421786654506,-2.00644380472501,segment1,-1.70538395905003
51,3,1,3.94645,109423.974046179,51.1754978803972,51.1754978803972,50.1179438983685,47.5067712309538,segment1,66.3518236947603,10658.6978387096,26248.3197921881,26275.3682505856,segment1,36024.1040131046,3966.94214876033,21239.6694214876,21189.4846814595,segment1,30154.3272370375,5321.00798182787,5374.49628162815,5378.99250317438,segment1,6085.70862594098,-1.8945395314733,-1.95123752687228,-2.07879378109426,segment1,-1.70538395905003
52,4,1,3.95947,108483.597139291,49.0857714206457,49.0857714206457,51.5328334952256,49.2824995209343,segment1,66.3518236947603,13050.7000186182,27794.1260789528,27366.409882539,segment1,36024.1040131046,7933.88429752066,21818.1818181818,21622.574631701,segment1,30154.3272370375,6057.19262798575,5339.2439421853,5328.29934485562,segment1,6085.70862594098,-1.98150678449176,-1.89575587392501,-2.00605563916498,segment1,-1.70538395905003
53,5,1,3.97261,123035.820643402,81.4240458742261,81.4240458742261,52.0551063542555,51.0582278109148,segment1,66.3518236947603,108896.995170143,27895.5605191272,28457.4515144924,segment1,36024.1040131046,89256.1983471074,22330.5785123967,22055.6645819424,segment1,30154.3272370375,5088.57331892433,5329.95922016701,5277.60618653686,segment1,6085.70862594098,-0.695577132718711,-1.87402066754718,-1.93331749723571,segment1,-1.70538395905003
54,6,1,3.98599,114477.921512714,62.4064922504755,62.4064922504755,52.7386867969336,54.9519125678781,segment1,66.3518236947603,2469.21030202009,27642.3302945603,30252.3058876856,segment1,36024.1040131046,5950.4132231405,22016.5289256198,23464.565302152,segment1,30154.3272370375,5076.69620956736,5318.19016973533,5259.05030998884,segment1,6085.70862594098,-1.43281861537616,-1.84557239239643,-1.76772352972854,segment1,-1.70538395905003
55,7,1,3.99877,101888.456432577,34.429903183505,34.429903183505,54.6401059499389,58.8455973248414,segment1,66.3518236947603,-682.415581008452,29243.8631252198,32047.1602608789,segment1,36024.1040131046,6148.76033057851,23090.9090909091,24873.4660223616,segment1,30154.3272370375,5758.28916854974,5297.3154154584,5240.49443344081,segment1,6085.70862594098,-2.59721707284297,-1.77002877247428,-1.60212956222138,segment1,-1.70538395905003
56,8,1,4.01191,96665.9595045056,22.824354454457,22.824354454457,58.6454624381166,64.5532596109863,segment1,66.3518236947603,6033.92383047688,32735.3089405513,35111.6662422027,segment1,36024.1040131046,6148.76033057851,25652.8925619835,27543.5796504521,segment1,30154.3272370375,5107.66042797002,5280.00595888794,5245.57115567959,segment1,6085.70862594098,-3.11450084147134,-1.61362176313821,-1.38472814928825,segment1,-1.70538395905003
57,9,1,4.0245,125871.506994827,87.7255710996161,87.7255710996161,68.7262910458632,70.2609218971311,segment1,66.3518236947603,46371.9822487048,40415.0691519313,38176.1722235265,segment1,36024.1040131046,11900.826446281,30611.5702479339,30213.6932785426,segment1,30154.3272370375,5265.60831210216,5267.12603051153,5250.64787791837,segment1,6085.70862594098,-0.455079620047769,-1.25871669209801,-1.16732673635512,segment1,-1.70538395905003
58,10,1,4.03767,108438.888948488,48.9864198855293,48.9864198855293,79.6622327817552,75.3372287058843,segment1,66.3518236947603,3484.21447326781,46880.3763408145,39767.482212677,segment1,36024.1040131046,15867.7685950413,36727.2727272727,32127.0225540206,segment1,30154.3272370375,5049.06392456551,5231.92983239047,5275.98983798719,segment1,6085.70862594098,-1.98564145487026,-0.873869279590608,-0.991076533760778,segment1,-1.70538395905003
59,11,1,4.05055,109507.776146848,51.3617247707734,51.3617247707734,82.8801169518738,80.4135355146375,segment1,66.3518236947603,14304.7700686883,42330.5309213098,41358.7922018274,segment1,36024.1040131046,7933.88429752066,35652.8925619835,34040.3518294986,segment1,30154.3272370375,5301.99857280776,5229.59048277303,5301.33179805601,segment1,6085.70862594098,-1.88678940656175,-0.752569706557612,-0.814826331166433,segment1,-1.70538395905003
60,12,1,4.06384,109099.721777866,50.4549372841474,50.4549372841474,83.7778957657302,83.1495793955572,segment1,66.3518236947603,52434.7383626009,38852.0894675694,41411.1334595036,segment1,36024.1040131046,47603.305785124,33173.5537190083,34558.3886851235,segment1,30154.3272370375,5239.48694645871,5274.53528232585,5344.91571489099,segment1,6085.70862594098,-1.92452679387162,-0.717766082657253,-0.729843291978967,segment1,-1.70538395905003
61,1,1,4.07648,126246.249719896,88.558332710881,88.558332710881,86.4377673646955,85.8856232764768,segment1,66.3518236947603,83925.6212939434,40933.6288603123,41463.4747171798,segment1,36024.1040131046,61487.6033057851,34404.9586776859,35076.4255407484,segment1,30154.3272370375,5291.49004612849,5331.72796309203,5388.49963172598,segment1,6085.70862594098,-0.424880351366227,-0.611325533456399,-0.644860252791501,segment1,-1.70538395905003
62,2,1,4.08943,132518.022260414,102.495605023142,102.495605023142,89.5621775907489,87.8407236995451,segment1,66.3518236947603,66477.0410067538,41747.5818389501,42313.7237681211,segment1,36024.1040131046,55537.1900826446,34892.5619834711,35892.4746880732,segment1,30154.3272370375,4668.07838359195,5449.03525375515,5435.56682496704,segment1,6085.70862594098,0.0805409187214252,-0.48160139293423,-0.582934211605011,segment1,-1.70538395905003
63,3,1,4.1027,193832.127087486,238.749171305524,238.749171305524,88.3653309582501,89.7958241226133,segment1,66.3518236947603,165769.399419225,39621.3589760682,43163.9728190624,segment1,36024.1040131046,99173.5537190083,34644.6280991735,36708.5238353979,segment1,30154.3272370375,5281.74087314523,5515.31186151914,5482.63401820809,segment1,6085.70862594098,4.52133323091545,-0.527291934317779,-0.521008170418521,segment1,-1.70538395905003
