index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor
209,6,3178.727663233749,108260.72562135095,5950.413223140496,8163.235176391322,249.4978817739157,604556.0,0.9651666666666668
210,7,27648.807532972085,121365.62004186286,5950.413223140496,8593.499889319686,250.66053928685932,605871.0,0.965
211,8,6174.181731103501,112818.28879190127,6148.760330578512,8572.752650486536,249.9193710156202,607196.0,0.9648333333333332
212,9,1239.2000683967121,100562.71553846973,5950.413223140496,7544.360098687793,248.77146944715432,608592.0,0.9646666666666668
213,10,33949.20506802158,106138.76683091528,19834.710743801654,8538.443031774339,249.30164032469392,609926.0,0.9645
214,11,38020.75892419768,107674.79834587088,29752.06611570249,6732.661293539622,249.44369447386208,611211.0,0.9643333333333334
215,12,69676.50311655294,106810.95203068557,61487.603305785095,9052.746125953314,249.36380486735283,612565.0,0.9641666666666666
216,1,30299.1807994456,105318.13786522039,23801.652892561993,7990.342072348764,249.2257475136614,613896.0,0.9640000000000001
217,2,117089.03599199446,159035.73677727446,55537.19008264461,7834.246997296025,253.59623396722,615238.0,0.9638333333333332
218,3,37202.77410052419,127644.79623767913,61487.603305785095,7106.111334334736,251.187823856691,616582.0,0.9636666666666668
219,4,13125.904036459244,105142.86739793178,27768.595041322318,7859.237834884261,249.20953827780744,617888.0,0.9635
220,5,1260.0265064256782,93443.72042408412,6148.760330578512,6810.413149694846,248.06633918622072,619226.0,0.9633333333333334
221,6,2256.2553086287776,82362.07938764071,5950.413223140496,7387.483121931685,246.87155268646518,620505.0,0.9631666666666668
222,7,216.047731164194,66375.14232974422,6148.760330578512,10054.224458482164,244.90504865243648,621848.0,0.963
223,8,5109.568092894667,56931.28362541909,6148.760330578512,8404.666466641289,243.54048430525643,623213.0,0.9628333333333332
224,9,31676.380680121187,76196.27540923728,5950.413223140496,6460.975673162498,246.14624931293227,624531.0,0.9626666666666668
225,10,3090.983083058271,67995.63761037652,3689.256198347107,7602.364683571916,245.1206190160431,625892.0,0.9625
226,11,42633.43589577694,99250.74009728056,3570.2479338842977,7808.0854749885975,248.6415194232647,627263.0,0.9623333333333334
