Flow 	 Preci 	 Evatr
250.45423715560722	3.7409495696251707	2.9953195085688953
461.6990505166798	2.4780051643560292	2.266508579141651
1180.8404883084072	2.9367683597027248	1.8890428470007168
490.97049708150445	6.265613566395173	2.895727190527536
354.33839066799567	2.4068951387703965	1.2955504324882345
264.38635031656344	3.0499757052756897	1.879077949639284
179.61990834837772	3.183760130122814	3.2234500331838483
60.15242295234655	3.455160496403069	3.6946123515931566
180.6385011681927	3.1443744806939544	5.557521255524164
230.29952695858952	2.003560918162399	2.0457675778416666
66.13097332045915	2.0854619809536428	1.9748945373673215
317.66929809486084	3.242013632445957	0.4911935830189311
814.812010897475	3.052228025103864	1.4614190397911604
240.5499579539152	4.668261502132078	1.0720894959658271
606.3176055557846	1.9194598167752472	1.3047868230681507
1086.803415308759	4.169176826448865	1.5245469804020344
515.1325072863989	1.0882087794396218	1.9670380616913983
314.65802489258556	2.745434703927048	2.719334714475404
52.36600420005279	2.035321012168304	3.1507601347114673
57.686799200127126	3.399175758687985	2.071614224541471
499.72527835693114	2.224008003095104	2.1549599555551766
493.2005744292025	2.3154330997446064	0.11939506254004095
161.56706281836418	2.0146709366030136	0.9081247646455968
609.5155748595839	4.49270117890721	3.2945967900730957
949.4106049924904	1.686852456558639	2.916767833571752
1578.0320105306603	4.306811187826101	1.4985226390415165
860.4791783343127	3.8947602077163297	1.6227904043609067
909.3308902290496	3.0550709990431706	2.196554544752613
483.63924005522057	3.6603710514325885	1.9078454821238142
1363.69497837688	4.5650150243426095	2.716613745477552
18.78078887098216	4.0461533744709435	2.539592739599138
58.25921557424262	5.759989720596606	3.29828606866134
273.3060265592601	5.514279327097174	5.739119303983639
216.0515780446772	4.678054518854022	4.550883565243459
54.622530307695406	1.7157691209678876	2.629462219823935
63.78390778730969	3.5599235325396736	1.4244148671025578
713.7999677652308	4.027675477873877	3.027488792942931
2864.7453080812975	4.666931393754694	0.06659585677623704
1614.4790973661009	4.251772286192245	2.714164633654333
383.78821503116114	6.968233525619494	2.6356261628725672
979.338243775796	1.0842925196102267	3.103279662386485
279.6380687337431	3.4757672079908066	1.5753680722233705
926.4312017666612	4.226251221451039	2.261878161253088
22.22844004542947	4.655762069790318	1.409338779749797
26.400488416192616	2.190988343144428	2.1483977567233445
3421.7109623429055	4.669566147819954	2.2238600486099154
38.23926994783583	4.510685130429053	1.2143930897909712
73.96825615082989	0.5756520310491515	3.0801031781815342
215.24934629018213	3.6753737281505336	0.46573239100103864
1119.9560859401772	3.9690512386232593	2.306056421673114
944.4242096605924	1.9076087920001457	3.403555662054332
450.33269578364724	5.645223221018755	4.8552539198307185
