observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
118024.56859999994 18261.80829 3197.35364 250.95 18753.70885 126004.47955867254 97190.08264462808  2839.8163407016423  2839.8163407016423 251.05563619620216  5.339934106415018E8  7.850817671795626E7  74044.0  196579.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
112431.18319999994 8449.5822 3272.7255 250.47 6128.9223 123575.3998772837 5950.413223140496  2607.5887582483365  2607.5887582483365 250.85090626096516  5.1774369130017924E8  4.467023340189042E7  74244.0  197071.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
100195.15676999993 9960.98634 4181.154759999999 249.37 1906.1146700000002 113800.98927887467 6148.760330578512  5531.764937830513  5531.764937830513 250.00886537550608  5.3611371759779406E8  6.569968215451992E8  74444.0  197613.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82794.17445999992 11436.688020000001 3812.2293400000003 247.56 -2152.0649500000004 101749.8891751684 6148.760330578512  3750.27482312775  3750.27482312775 248.88905796109037  5.371997900537821E8  2.716726885213295E8  74645.0  198142.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82318.14165999992 8925.615000000002 3094.2132 247.51 11543.7954 104400.41764504378 5950.413223140496  2942.8537069841195  2942.8537069841195 249.1408755798616  5.208598247251469E8  1.1386522458842076E8  74845.0  198642.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
70143.60279999992 8731.23494 3074.3785000000003 246.04 -368.92542 97764.36859173495 3689.2561983471073  2577.8674349617163  2577.8674349617163 248.4942956212099  5.393092188972833E8  1.6694306149777865E7  75045.0  199172.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
67941.95109999992 4224.7911 2677.6845000000003 245.74 4700.8239 95513.30377254364 3570.2479338842977  3381.6407853070064  3381.6407853070064 248.27132961296985  5.2291792460046667E8  2.0644626673615292E8  75246.0  199677.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76673.18603999991 3566.2790600000003 2520.99037 246.85 14818.50437 104068.26072828942 3689.2561983471073  2574.2912159071116  2574.2912159071116 249.11015728551646  5.413242251621728E8  1.390796836718777E7  75446.0  200153.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109569.0359899999 12604.951850000001 2705.45308 250.22 48206.25488 111864.2491072414 37685.950413223145  2724.3160878249455  2724.3160878249455 249.831140211527  5.42373645323461E8  4.5216440818904124E7  75646.0  200664.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109291.35018999991 31378.4954 2610.24652 250.2 33711.05612 111421.73131274353 31735.537190082654  2418.0367244152512  2418.0367244152512 249.79021560276922  4.9085398953706914E8  3.0676685095134947E7  75847.0  201188.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109844.7383199999 12481.976709999999 2889.91579 250.25 15925.280630000001 110647.49306921625 13884.297520661159  2815.221352866092  2815.221352866092 249.71861306475688  5.44510036309738E8  6.2686817474604025E7  76047.0  201709.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
119246.38611999991 11424.787199999999 2975.205 251.06 23801.64 111819.72185643333 19834.710743801657  2794.7004689812325  2794.7004689812325 249.82702227470946  5.279799860883005E8  7.479085120522861E7  76247.0  202229.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
117463.24658999991 12481.976709999999 3381.81635 250.91 14080.65353 116428.24811103001 6148.760330578512  3323.366944824796  3323.366944824796 250.23519711500947  5.466690142078298E8  1.7012647003117493E8  76448.0  202761.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108954.16028999991 7616.5248 3748.7583000000004 250.18 2856.1967999999997 105805.20994405648 5950.413223140496  7528.821743833046  7528.821743833046 249.27079255933197  5.3006971667463845E8  1.093773066027176E9  76648.0  203284.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
95795.82030999992 10083.96148 3750.74177 248.97 676.36327 97609.5017204885 6148.760330578512  2723.311162989472  2723.311162989472 248.4789561925999  5.487545548922976E8  3.861878552369376E7  76848.0  203780.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82944.91817999992 8915.69765 3750.74177 247.59 -184.46271 88223.53537514422 6148.760330578512  3052.7433047657582  3052.7433047657582 247.51176863447378  5.497487776061208E8  1.086776470797197E8  77049.0  204265.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76935.00407999991 7795.0371 3272.7255 246.9 5057.8485 84295.29876631747 5950.413223140496  3035.6718856862462  3035.6718856862462 247.0895591967237  5.329578321065591E8  1.2178656880289029E8  77249.0  204739.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76443.1035199999 7747.43382 3320.3287800000003 246.83 10575.86204 88226.71339410238 3689.2561983471073  2955.1912138679754  2955.1912138679754 247.5121102100282  5.517059468782097E8  8.568009936155474E7  77450.0  205215.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
100839.7845199999 5652.8895 3153.7173000000003 249.43 33203.287800000006 110814.11666402311 7933.884297520661  2682.0002325585983  2682.0002325585983 249.7340226268402  5.348671392810601E8  4.359611420332874E7  77650.0  205698.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
101147.2223699999 5841.31915 2951.40336 249.46 9100.16036 111160.59916534595 5950.413223140496  2803.2646355366455  2803.2646355366455 249.76606576947617  5.537321496798079E8  5.088583721164436E7  77850.0  206203.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
106619.61609999991 12543.46428 2889.91579 249.97 20905.773800000003 111474.26701115612 17851.23966942149  2740.866284768307  2740.866284768307 249.79507417101232  5.547884253741645E8  3.6371265518840976E7  78051.0  206717.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
193313.12285999992 33822.13044 2665.78368 256.43 123181.42088000002 169957.3269725962 61487.60330578509  3210.757612775031  3210.757612775031 254.3802721352287  5.0199746343127203E8  1.9051004357383087E8  78251.0  207204.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
155682.73001999993 233960.20385000002 2828.4282200000002 253.85 199158.23923 213661.75936291582 152727.27272727265  2726.5341124079278  2726.5341124079278 257.29475522250067  5.568192283531629E8  3.1249249141370993E7  78451.0  207708.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
138069.51641999994 118353.6549 2975.205 252.57 103715.64630000001 206536.05648372395 107107.43801652893  3733.911162663192  3733.911162663192 256.84524719396353  5.398746698769616E8  2.6546843679234356E8  78652.0  208220.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
117409.69289999994 107111.34694 3135.86607 250.93 89587.38949 126174.16348580887 166611.57024793388  3337.7122399812056  3337.7122399812056 251.06931045900626  5.588859458896067E8  1.6100358211877513E8  78852.0  208715.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
118837.79129999992 38320.640400000004 3272.7255 251.05 43021.4643 123676.88842769648 41652.89256198347  3865.8467961289252  3865.8467961289252 250.85964924428814  5.418876469426547E8  2.919118016975244E8  79052.0  209235.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121543.24437999992 54232.03674 3381.81635 251.27 60319.30617 126141.26227608309 53553.71900826446  4301.213313348943  4301.213313348943 251.06665906004375  5.609854360137811E8  3.6671539598729444E8  79253.0  209739.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
119883.07998999991 69112.02868 3320.3287800000003 251.13 70772.19307 127568.26181783192 65454.54545454545  3890.6480737057327  3890.6480737057327 251.18165620258134  5.620753920052725E8  2.770732835080434E8  79453.0  210269.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
110540.93628999991 20112.3858 3451.2378000000003 250.33 14221.4799 126591.49680371287 11900.826446280991  3297.4184678380707  3297.4184678380707 251.10294196177878  5.450051293017951E8  1.661936960559144E8  79653.0  210804.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108450.35890999991 54293.52431 3381.81635 250.15 55584.76328 117183.17289133118 61487.603305785095  3505.483886596794  3505.483886596794 250.3002319858142  5.641516346500374E8  1.9192347282463726E8  79854.0  211281.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108212.34250999993 34333.8657 2915.7009000000003 250.13 37011.550200000005 111443.21800566297 39669.42148760331  3082.0835980649927  3082.0835980649927 249.79220271947312  5.469594349070793E8  1.1779520754389684E8  80054.0  211788.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109872.50689999993 71878.96932999999 3135.86607 250.27 76674.99979 123484.24725938191 61487.603305785095  3146.3672304962224  3146.3672304962224 250.84305369222793  5.662311508642501E8  1.1238841177200446E8  80254.0  212295.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
111040.77072999995 76367.56194 3012.89093 250.37 80548.7167 139252.14244981745 61487.603305785095  3293.21820377967  3293.21820377967 252.11582907975472  5.673533920994864E8  1.429395055173398E8  80455.0  212841.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
114039.77736999994 106964.57016 2721.3208400000003 250.63 112684.89764 179413.62914953422 69421.48760330575  3101.9233369775834  3101.9233369775834 255.04522909488367  5.13379657434866E8  1.5565408976072234E8  80655.0  213342.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
141278.77087999997 36154.69116 2951.40336 252.8 66345.08803 168801.2143186077 73388.42975206609  3569.0731088605903  3569.0731088605903 254.29870065043448  5.694485766045152E8  2.0034167822599718E8  80855.0  213861.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
120928.36867999996 101216.4741 2975.205 251.2 83841.2769 175856.88150726652 73388.42975206609  3397.17995927524  3397.17995927524 254.79652518925187  5.521686643304012E8  1.805470707610779E8  81056.0  214408.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
131012.33015999994 83069.70707 3074.3785000000003 252.01 96228.04705000001 125891.45899522974 142809.9173553719  3383.552206664954  3383.552206664954 251.04652824524376  5.716304701899371E8  1.581459832358193E8  81256.0  214922.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
115005.72725999996 24099.160499999998 3510.7419 250.7 11603.299500000001 122765.85055908597 11900.826446280991  2828.081489862774  2828.081489862774 250.78116562362905  5.542499439467117E8  5.57206294652015E7  81457.0  215454.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
104983.25334999996 9284.623070000001 4242.64233 249.83 3504.79149 112149.53037070468 6148.760330578512  7972.35134780278  7972.35134780278 249.85752338580457  5.737838660789918E8  1.1457209432745137E9  81657.0  215969.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102031.84998999996 9223.1355 3750.74177 249.56 10022.47391 111824.54934807273 6148.760330578512  4198.6946020534315  4198.6946020534315 249.82746872727947  5.74823833427821E8  3.307654019522518E8  81857.0  216474.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
85846.73478999996 8985.119100000002 4046.2787999999996 247.94 -3153.7173000000003 100064.39652895332 5950.413223140496  2656.0222959789126  2656.0222959789126 248.72211138361266  5.57301331602871E8  1.5558909051666083E7  82058.0  216988.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102509.86625999995 10268.42419 3873.71691 249.61 30805.27257 109233.75016182527 17851.23966942149  3784.6792677065177  3784.6792677065177 249.58786832163372  5.768732128852546E8  2.3941973743425018E8  82258.0  217475.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
98642.09975999994 8866.1109 3332.2296 249.25 8330.574 110891.38089964277 3966.9421487603304  2706.0011134221513  2706.0011134221513 249.74116812167233  5.593007852701958E8  2.433906270591153E7  82458.0  217997.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
110693.66347999993 22565.93819 3074.3785000000003 250.34 37691.880410000005 109621.83017639733 35702.47933884298  3258.951794402509  3258.951794402509 249.62375845522956  5.790269647743628E8  1.2387523301560652E8  82659.0  218524.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108111.18553999993 127832.65803 2889.91579 250.12 128140.09588000001 164756.81501054368 69421.48760330575  3583.62344254808  3583.62344254808 254.0133412129079  5.800608399415185E8  1.9286768209022787E8  82859.0  219026.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108055.64837999994 16883.29664 2443.63504 250.12 19271.39452 125826.63914443024 55537.19008264461  2664.380303469061  2664.380303469061 251.0413046292554  5.249145083424799E8  4.974841679620447E7  83059.0  219560.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
139352.82150999998 72001.94447 2951.40336 252.66 106250.52096000001 162561.07163364883 65454.54545454542  4061.5430162362422  4061.5430162362422 253.8537644556687  5.821987366647829E8  2.938091617754811E8  83260.0  220068.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
118645.39470999996 48912.370200000005 3272.7255 251.03 31477.668900000004 131406.29816944365 59504.13223140493  3128.3101328005187  3128.3101328005187 251.49095077519894  5.644435172285655E8  1.102814269976644E8  83460.0  220585.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
116616.30489999997 11559.66316 3935.2044800000003 250.86 13465.77783 124139.2680552928 17851.239669421488  2881.5682747293667  2881.5682747293667 250.89948208608658  5.843288729920571E8  3.7177918507505625E7  83660.0  221110.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
