observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
70143.60279999992 8731.23494 3074.3785000000003 246.04 -368.92542 97787.37176579739 3689.2561983471073  2576.9572432272385  2576.9572432272385 248.49657406555045  5.390798786262628E8  1.6727333062718812E7  75045.0  199068.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
67941.95109999992 4224.7911 2677.6845000000003 245.74 4700.8239 95537.63147490754 3570.2479338842977  3380.3162570055647  3380.3162570055647 248.2737392506842  5.226741132251217E8  2.0640439918376333E8  75246.0  199564.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76673.18603999991 3566.2790600000003 2520.99037 246.85 14818.50437 104093.08857779228 3689.2561983471073  2573.791068768147  2573.791068768147 249.112453396633  5.412020827555746E8  1.3922237277827522E7  75446.0  200100.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109569.0359899999 12604.951850000001 2705.45308 250.22 48206.25488 111889.5218308113 37685.950413223145  2723.8712137579023  2723.8712137579023 249.83347746516336  5.422283477150248E8  4.526578642213938E7  75646.0  200599.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109291.35018999991 31378.4954 2610.24652 250.2 33711.05612 111447.32777431943 31735.537190082654  2417.712986409256  2417.712986409256 249.79258279610832  4.907810043395878E8  3.067984533960537E7  75847.0  201153.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109844.7383199999 12481.976709999999 2889.91579 250.25 15925.280630000001 110673.65575646299 13884.297520661159  2814.6551271952635  2814.6551271952635 249.7210326233666  5.443929779390597E8  6.2681750298928015E7  76047.0  201655.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
119246.38611999991 11424.787199999999 2975.205 251.06 23801.64 111845.77311556439 19834.710743801657  2794.8118970969294  2794.8118970969294 249.82943152830524  5.2786110480498105E8  7.493376569687216E7  76247.0  202174.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
117463.24658999991 12481.976709999999 3381.81635 250.91 14080.65353 116454.09238956492 6148.760330578512  3323.5739254209425  3323.5739254209425 250.2374235345938  5.4650053318662E8  1.7033959335613993E8  76448.0  202683.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108954.16028999991 7616.5248 3748.7583000000004 250.18 2856.1967999999997 105831.31205192093 5950.413223140496  7528.563914503491  7528.563914503491 249.2732065154833  5.299470845056822E8  1.0938400886585336E9  76648.0  203223.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
95795.82030999992 10083.96148 3750.74177 248.97 676.36327 97636.32199043919 6148.760330578512  2722.5930009032318  2722.5930009032318 248.48161271696108  5.485976187887405E8  3.862082589984196E7  76848.0  203703.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82944.91817999992 8915.69765 3750.74177 247.59 -184.46271 88249.9646032523 6148.760330578512  3053.134346608357  3053.134346608357 247.5146092651819  5.497070307065184E8  1.0880373526077764E8  77049.0  204246.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76935.00407999991 7795.0371 3272.7255 246.9 5057.8485 84320.887511917 5950.413223140496  3036.5123681948066  3036.5123681948066 247.09230949182256  5.330167349868966E8  1.2190894414933896E8  77249.0  204772.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76443.1035199999 7747.43382 3320.3287800000003 246.83 10575.86204 88250.9847932917 3689.2561983471073  2956.508560278178  2956.508560278178 247.514718915874  5.518738713444443E8  8.579630480744894E7  77450.0  205305.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
